index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,2,0.9475835938256285,0.10188678,0.1532318,0.016512237,0.023479983
1,24,128,2,512,2,0.902343573861954,0.119550526,0.17932083,0.013022993,0.03215596
2,24,128,2,512,2,0.9092781613672135,0.13450465,0.20142025,0.0151601555,0.040570118
3,24,128,2,512,2,0.9454679655497543,0.10244174,0.1558679,0.013803898,0.024294803
4,24,128,2,512,2,0.9270128489745857,0.108569644,0.16443227,0.014585279,0.027037969
5,24,128,2,512,2,0.9401833082255102,0.10481699,0.15717532,0.011944148,0.024704082
6,24,128,2,512,2,0.8580110512339558,0.20759393,0.25844273,0.017697029,0.06679265
7,24,128,2,512,2,0.9492912010215215,0.09921571,0.14860676,0.013148311,0.022083972
8,24,128,2,512,2,0.9443841511390062,0.09953734,0.1558307,0.011009149,0.024283206
9,24,128,2,512,2,0.9341643611147349,0.11852762,0.17903544,0.01485974,0.03205369
