index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,3,0.9268967192508607,0.10934709,0.16797018,0.009896302,0.028213983
1,24,128,2,512,3,0.9101734361595682,0.13232745,0.19377255,0.018524125,0.0375478
2,24,128,2,512,3,0.8740531743985132,0.19082247,0.25734296,0.026550012,0.06622541
3,24,128,2,512,3,0.913122207974482,0.13479154,0.19785298,0.017832166,0.039145805
4,24,128,2,512,3,0.9424274418475206,0.10678518,0.1624754,0.009807828,0.026398258
5,24,128,2,512,3,0.9182644320831062,0.13631177,0.19578233,0.010265318,0.038330723
6,24,128,2,512,3,0.9164537678191526,0.13629635,0.19955033,0.012028782,0.03982033
7,24,128,2,512,3,0.9263687250916094,0.110781856,0.16652742,0.01315789,0.027731383
8,24,128,2,512,3,0.9319806942365769,0.12376108,0.17997178,0.012372682,0.032389846
9,24,128,2,512,3,0.9143891229355756,0.13759415,0.19779445,0.014223157,0.039122645
