index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,4,0.8723135649172615,0.14741631,0.22560002,0.029523691,0.05089537
1,24,128,2,512,4,0.9241549491625815,0.12360892,0.18061772,0.014134009,0.032622762
2,24,128,2,512,4,0.918848643998581,0.1139416,0.17591155,0.024566308,0.030944873
3,24,128,2,512,4,0.8553318910971042,0.15555154,0.22042626,0.030461054,0.048587732
4,24,128,2,512,4,0.931006363397298,0.11379368,0.17247474,0.0139217,0.029747538
5,24,128,2,512,4,0.9184721721424325,0.11413012,0.17621802,0.031664133,0.031052794
6,24,128,2,512,4,0.8948404478307628,0.13873859,0.21226619,0.035213936,0.04505694
7,24,128,2,512,4,0.9006481568263233,0.13833919,0.21277948,0.016304785,0.045275107
8,24,128,2,512,4,0.9303308848852652,0.117726706,0.17720865,0.014763231,0.031402905
9,24,128,2,512,4,0.9085863995411371,0.13027802,0.1945369,0.024165915,0.037844602
