index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,5,0.9195676074119997,0.11275948,0.18475103,0.019464547,0.034132943
1,24,128,2,512,5,0.9110747890315519,0.14540118,0.2051186,0.02128898,0.04207363
2,24,128,2,512,5,-0.4207612480043743,0.32838786,0.49384922,0.106107935,0.24388704
3,24,128,2,512,5,0.635985504299936,0.22757964,0.317386,0.033147246,0.100733876
4,24,128,2,512,5,0.926582755737406,0.110943444,0.16549817,0.018593766,0.027389644
5,24,128,2,512,5,0.9105445169369863,0.1279493,0.19041646,0.015589796,0.036258426
6,24,128,2,512,5,0.9152558646905737,0.12775028,0.19481814,0.01560849,0.03795411
7,24,128,2,512,5,0.9381236525652501,0.11088171,0.16584519,0.014209874,0.027504625
8,24,128,2,512,5,0.9121089268889155,0.127132,0.19200686,0.022806168,0.03686664
9,24,128,2,512,5,0.8238859935007377,0.1850122,0.25880447,0.034840688,0.066979766
